,E3A10_VenB145-014,E3A11_VenB145-014,E3A12_VenB145-014,E3B1_VenB145-014,E3B2_VenB145-014,E3B3_VenB145-014,E3B4_VenB145-014,E3B5_VenB145-014,E3B6_VenB145-014,E3B7_VenB145-014,E3B8_VenB145-014,E3B9_VenB145-014,E3B10_VenB145-014,E3B11_VenB145-014,E3B12_VenB145-014,E3C1_VenB145-014
0.0,-0.002987682819366455,0.0012814998626708984,0.0060051679611206055,0.003337860107421875,-0.011429190635681152,-0.021591782569885254,-0.05046278238296509,-0.07359683513641357,-0.06517022848129272,-0.059954822063446045,-0.05988031625747681,-0.05475431680679321,-0.04873424768447876,-0.04938989877700806,-0.04978477954864502,-0.0524669885635376
0.006666666666666667,-0.001862645149230957,0.001601874828338623,0.007152557373046875,0.004090368747711182,-0.010602176189422607,-0.02002716064453125,-0.05012005567550659,-0.07329881191253662,-0.06482750177383423,-0.05992501974105835,-0.0589713454246521,-0.05476921796798706,-0.04760921001434326,-0.04823505878448486,-0.04960596561431885,-0.0519677996635437
0.013333333333333334,-0.0007227063179016113,0.0025853514671325684,0.00858306884765625,0.004626810550689697,-0.009424984455108643,-0.018171966075897217,-0.04950910806655884,-0.07304549217224121,-0.06435811519622803,-0.05987286567687988,-0.058650970458984375,-0.05455315113067627,-0.04678219556808472,-0.0472143292427063,-0.04909932613372803,-0.05183368921279907
0.02,0.0006183981895446777,0.004030764102935791,0.009998679161071777,0.005088746547698975,-0.008083879947662354,-0.01646578311920166,-0.04887580871582031,-0.07275491952896118,-0.06423145532608032,-0.059954822063446045,-0.05898624658584595,-0.05400925874710083,-0.046387314796447754,-0.046119093894958496,-0.04848092794418335,-0.05188584327697754
0.02666666666666667,0.001817941665649414,0.005111098289489746,0.011235475540161133,0.00537186861038208,-0.006861984729766846,-0.0154152512550354,-0.04871934652328491,-0.07257610559463501,-0.06441771984100342,-0.05996972322463989,-0.05965679883956909,-0.0535622239112854,-0.04645437002182007,-0.0454634428024292,-0.04807114601135254,-0.052034854888916016
0.03333333333333333,0.002376735210418701,0.0057220458984375,0.012233853340148926,0.005297362804412842,-0.00597536563873291,-0.015430152416229248,-0.04938244819641113,-0.0729784369468689,-0.06496906280517578,-0.059857964515686035,-0.06039440631866455,-0.05354732275009155,-0.04664808511734009,-0.04531443119049072,-0.04783272743225098,-0.05240738391876221
0.04,0.002473592758178711,0.005781650543212891,0.01300126314163208,0.005073845386505127,-0.005677342414855957,-0.01640617847442627,-0.05058944225311279,-0.07400661706924438,-0.06555765867233276,-0.05969405174255371,-0.061728060245513916,-0.05404651165008545,-0.04728138446807861,-0.04559755325317383,-0.047557055950164795,-0.05284696817398071
0.04666666666666667,0.0023618340492248535,0.005327165126800537,0.01331418752670288,0.005364418029785156,-0.005990266799926758,-0.017546117305755615,-0.05217641592025757,-0.07525831460952759,-0.06648898124694824,-0.06019324064254761,-0.06358325481414795,-0.05504488945007324,-0.048376619815826416,-0.04606693983078003,-0.047363340854644775,-0.05348026752471924
0.05333333333333334,0.0021904706954956055,0.004582107067108154,0.013299286365509033,0.006079673767089844,-0.006705522537231445,-0.018596649169921875,-0.05406886339187622,-0.07642805576324463,-0.06768852472305298,-0.06121397018432617,-0.06540119647979736,-0.05618482828140259,-0.04971027374267578,-0.046603381633758545,-0.04735589027404785,-0.05415827035903931
0.06,0.0018775463104248047,0.003948807716369629,0.013016164302825928,0.006586313247680664,-0.0074803829193115234,-0.019602477550506592,-0.055886805057525635,-0.07753074169158936,-0.06902962923049927,-0.06219744682312012,-0.06669759750366211,-0.05747377872467041,-0.05099177360534668,-0.047244131565093994,-0.04769861698150635,-0.05525350570678711
0.06666666666666667,0.0018402934074401855,0.003509223461151123,0.012561678886413574,0.006370246410369873,-0.008106231689453125,-0.020466744899749756,-0.056900084018707275,-0.07840245962142944,-0.0704154372215271,-0.06303191184997559,-0.06765872240066528,-0.05848705768585205,-0.05225092172622681,-0.047944486141204834,-0.04816800355911255,-0.05671381950378418
